<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.BR,60,20191105,110000,61.6700000,62.3400000,61.6700000,62.2300000,100644
SPFB.BR,60,20191105,120000,62.2400000,62.4900000,62.2400000,62.3000000,133684
SPFB.BR,60,20191105,130000,62.3000000,62.7100000,62.1600000,62.6500000,140285
SPFB.BR,60,20191105,140000,62.6500000,62.9000000,62.6200000,62.8400000,117914
SPFB.BR,60,20191105,150000,62.8400000,62.8400000,62.6300000,62.6500000,58170
SPFB.BR,60,20191105,160000,62.6600000,62.8000000,62.5700000,62.7500000,58014
SPFB.BR,60,20191105,170000,62.7600000,62.7900000,62.5400000,62.6000000,68902
SPFB.BR,60,20191105,180000,62.6200000,62.8900000,62.5700000,62.8500000,136208
SPFB.BR,60,20191105,190000,62.8500000,63.1200000,62.7200000,63.0000000,181178
SPFB.BR,60,20191105,200000,63.0300000,63.2100000,62.6800000,62.8300000,192288
SPFB.BR,60,20191105,210000,62.8300000,62.9800000,62.7600000,62.8200000,75035
SPFB.BR,60,20191105,220000,62.8100000,62.9100000,62.6800000,62.8900000,50749
SPFB.BR,60,20191105,230000,62.8900000,63.1200000,62.8800000,63.0300000,74442
SPFB.BR,60,20191106,000000,63.0200000,63.0300000,62.9100000,62.9200000,18940
SPFB.BR,60,20191106,110000,62.9100000,62.9100000,62.5400000,62.5800000,63882
SPFB.BR,60,20191106,120000,62.5700000,62.6200000,62.3800000,62.4800000,115557
SPFB.BR,60,20191106,130000,62.4800000,62.5800000,62.3800000,62.4500000,71013
SPFB.BR,60,20191106,140000,62.4500000,62.7600000,62.4500000,62.7000000,142709
SPFB.BR,60,20191106,150000,62.7000000,62.9500000,62.6800000,62.7200000,86181
SPFB.BR,60,20191106,160000,62.7200000,62.7500000,62.5200000,62.5800000,61508
SPFB.BR,60,20191106,170000,62.5800000,62.6000000,62.4000000,62.4800000,78230
SPFB.BR,60,20191106,180000,62.4700000,62.8900000,62.4600000,62.8700000,165119
SPFB.BR,60,20191106,190000,62.8600000,63.3300000,62.7200000,63.1500000,283251
SPFB.BR,60,20191106,200000,63.1000000,63.1000000,61.6100000,61.7800000,432596
SPFB.BR,60,20191106,210000,61.7900000,61.9700000,61.6500000,61.8100000,158024
SPFB.BR,60,20191106,220000,61.8100000,61.9700000,61.7400000,61.8700000,86013
SPFB.BR,60,20191106,230000,61.8600000,62.0200000,61.7100000,61.8800000,97888
SPFB.BR,60,20191107,000000,61.8800000,61.9600000,61.8500000,61.9400000,32125
SPFB.BR,60,20191107,110000,61.9400000,62.3200000,61.7400000,62.1400000,169883
SPFB.BR,60,20191107,120000,62.1500000,62.3000000,62.0500000,62.1800000,145074
SPFB.BR,60,20191107,130000,62.1900000,62.6700000,62.1900000,62.6500000,180039
SPFB.BR,60,20191107,140000,62.6500000,62.6900000,62.3900000,62.5900000,117887
SPFB.BR,60,20191107,150000,62.5900000,62.6900000,62.3900000,62.4400000,86339
SPFB.BR,60,20191107,160000,62.4400000,62.5700000,62.3500000,62.5500000,101543
SPFB.BR,60,20191107,170000,62.5500000,62.7100000,62.4300000,62.5100000,133122
SPFB.BR,60,20191107,180000,62.5100000,62.6500000,62.3700000,62.5500000,199140
SPFB.BR,60,20191107,190000,62.5400000,62.6700000,62.1000000,62.3200000,209354
SPFB.BR,60,20191107,200000,62.3900000,62.8900000,62.3900000,62.7900000,243203
SPFB.BR,60,20191107,210000,62.7900000,62.9300000,62.5400000,62.7900000,140898
SPFB.BR,60,20191107,220000,62.7900000,62.8600000,62.5000000,62.6700000,98142
SPFB.BR,60,20191107,230000,62.6600000,62.7100000,62.1600000,62.2800000,198725
SPFB.BR,60,20191108,000000,62.2700000,62.2800000,62.0500000,62.1600000,59838
SPFB.BR,60,20191108,110000,62.1200000,62.1200000,61.8400000,61.9000000,68869
SPFB.BR,60,20191108,120000,61.9000000,61.9000000,61.7100000,61.7900000,92831
SPFB.BR,60,20191108,130000,61.7900000,61.9900000,61.4600000,61.5400000,153425
SPFB.BR,60,20191108,140000,61.5500000,61.6300000,61.2500000,61.4300000,128461
SPFB.BR,60,20191108,150000,61.4100000,61.4100000,61.1400000,61.3300000,102074
SPFB.BR,60,20191108,160000,61.3400000,61.4700000,61.2600000,61.4300000,87281
SPFB.BR,60,20191108,170000,61.4300000,61.5600000,61.1500000,61.1700000,140120
SPFB.BR,60,20191108,180000,61.1800000,61.2900000,60.8100000,60.8300000,186554
SPFB.BR,60,20191108,190000,60.8200000,61.6000000,60.7100000,61.5700000,273713
SPFB.BR,60,20191108,200000,61.5600000,62.4900000,61.5200000,62.3800000,394094
SPFB.BR,60,20191108,210000,62.3800000,62.5500000,62.2500000,62.3400000,152510
SPFB.BR,60,20191108,220000,62.3500000,62.5100000,62.2100000,62.4500000,104146
SPFB.BR,60,20191108,230000,62.4400000,62.7300000,62.3900000,62.6700000,152920
SPFB.BR,60,20191109,000000,62.6700000,62.7300000,62.6000000,62.6700000,45399
SPFB.BR,60,20191111,110000,62.6300000,62.6300000,61.8000000,62.0500000,114456
SPFB.BR,60,20191111,120000,62.0400000,62.0700000,61.7900000,62.0300000,94846
SPFB.BR,60,20191111,130000,62.0200000,62.2100000,61.6800000,61.8200000,185072
SPFB.BR,60,20191111,140000,61.8100000,61.8800000,61.6100000,61.7000000,83440
SPFB.BR,60,20191111,150000,61.7000000,61.9100000,61.6900000,61.8400000,71767
SPFB.BR,60,20191111,160000,61.8400000,62.0500000,61.8200000,61.9900000,59129
SPFB.BR,60,20191111,170000,61.9800000,62.1500000,61.8300000,61.8400000,138300
SPFB.BR,60,20191111,180000,61.8500000,62.4500000,61.7500000,62.4400000,214317
SPFB.BR,60,20191111,190000,62.4400000,62.7800000,62.4400000,62.6300000,245643
SPFB.BR,60,20191111,200000,62.6500000,62.7200000,62.3100000,62.3600000,188235
SPFB.BR,60,20191111,210000,62.3600000,62.4600000,62.2500000,62.3400000,102952
SPFB.BR,60,20191111,220000,62.3400000,62.6400000,62.3200000,62.5600000,71545
SPFB.BR,60,20191111,230000,62.5800000,62.6200000,62.1300000,62.2700000,128640
SPFB.BR,60,20191112,000000,62.2700000,62.2800000,62.1600000,62.1900000,29682
SPFB.BR,60,20191112,110000,62.2400000,62.5200000,62.2400000,62.4200000,69976
SPFB.BR,60,20191112,120000,62.4200000,62.6400000,62.2900000,62.4500000,160802
SPFB.BR,60,20191112,130000,62.4500000,62.5500000,62.1700000,62.2400000,133262
SPFB.BR,60,20191112,140000,62.2500000,62.7500000,62.2300000,62.6200000,129797
SPFB.BR,60,20191112,150000,62.6200000,62.7300000,62.4700000,62.4700000,75440
SPFB.BR,60,20191112,160000,62.4800000,62.5500000,62.4100000,62.4800000,65647
SPFB.BR,60,20191112,170000,62.4800000,62.6600000,62.3100000,62.6300000,113823
SPFB.BR,60,20191112,180000,62.6300000,62.7900000,62.4800000,62.6400000,219988
SPFB.BR,60,20191112,190000,62.6400000,62.8700000,62.5300000,62.7500000,125238
SPFB.BR,60,20191112,200000,62.7400000,62.7400000,61.9000000,62.1200000,305594
SPFB.BR,60,20191112,210000,62.1200000,62.2500000,61.9800000,62.1900000,105652
SPFB.BR,60,20191112,220000,62.1800000,62.4800000,62.1500000,62.1600000,113935
SPFB.BR,60,20191112,230000,62.1600000,62.2200000,61.8300000,62.1200000,181668
SPFB.BR,60,20191113,000000,62.1100000,62.1200000,62.0400000,62.0700000,35129
SPFB.BR,60,20191113,110000,62.0500000,62.0500000,61.7100000,61.7600000,80692
SPFB.BR,60,20191113,120000,61.7600000,61.8700000,61.5300000,61.5500000,157020
SPFB.BR,60,20191113,130000,61.5600000,61.6100000,61.3000000,61.3300000,154680
SPFB.BR,60,20191113,140000,61.3300000,61.5100000,61.2500000,61.3900000,107929
SPFB.BR,60,20191113,150000,61.3800000,61.4900000,61.3000000,61.4400000,52514
SPFB.BR,60,20191113,160000,61.4500000,61.6900000,61.4200000,61.6700000,105874
SPFB.BR,60,20191113,170000,61.6700000,61.7700000,61.5500000,61.6100000,141364
SPFB.BR,60,20191113,180000,61.6100000,62.3100000,61.4400000,62.2700000,365928
SPFB.BR,60,20191113,190000,62.2600000,62.5700000,62.2000000,62.4400000,216529
SPFB.BR,60,20191113,200000,62.4000000,62.4900000,62.1600000,62.4400000,192462
SPFB.BR,60,20191113,210000,62.4500000,62.7000000,62.3900000,62.5500000,128867
SPFB.BR,60,20191113,220000,62.5400000,62.7500000,62.3900000,62.3900000,123674
SPFB.BR,60,20191113,230000,62.4000000,62.5400000,62.2900000,62.5100000,103611
SPFB.BR,60,20191114,000000,62.5100000,62.5800000,62.4500000,62.5800000,45122
SPFB.BR,60,20191114,110000,62.5900000,62.8500000,62.5900000,62.8100000,90436
SPFB.BR,60,20191114,120000,62.8100000,62.9000000,62.6800000,62.7300000,144084
SPFB.BR,60,20191114,130000,62.7500000,62.8600000,62.6600000,62.8300000,80065
SPFB.BR,60,20191114,140000,62.8200000,63.1500000,62.7900000,63.0700000,160008
SPFB.BR,60,20191114,150000,63.0700000,63.2300000,63.0400000,63.1900000,91391
SPFB.BR,60,20191114,160000,63.1900000,63.2200000,62.9500000,62.9800000,70983
SPFB.BR,60,20191114,170000,62.9900000,63.1100000,62.8100000,63.0000000,101680
