<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.GAZR-12.19,60,20191105,110000,26750.0000000,26988.0000000,26680.0000000,26680.0000000,49476
SPFB.GAZR-12.19,60,20191105,120000,26682.0000000,26808.0000000,26592.0000000,26807.0000000,34086
SPFB.GAZR-12.19,60,20191105,130000,26807.0000000,26819.0000000,26600.0000000,26710.0000000,14577
SPFB.GAZR-12.19,60,20191105,140000,26708.0000000,26850.0000000,26674.0000000,26772.0000000,14500
SPFB.GAZR-12.19,60,20191105,150000,26785.0000000,26815.0000000,26617.0000000,26648.0000000,14835
SPFB.GAZR-12.19,60,20191105,160000,26640.0000000,26710.0000000,26629.0000000,26655.0000000,8942
SPFB.GAZR-12.19,60,20191105,170000,26652.0000000,26710.0000000,26587.0000000,26625.0000000,15239
SPFB.GAZR-12.19,60,20191105,180000,26625.0000000,26664.0000000,26420.0000000,26446.0000000,26234
SPFB.GAZR-12.19,60,20191105,190000,26446.0000000,26529.0000000,26353.0000000,26493.0000000,24377
SPFB.GAZR-12.19,60,20191105,200000,26475.0000000,26574.0000000,26437.0000000,26569.0000000,7346
SPFB.GAZR-12.19,60,20191105,210000,26569.0000000,26569.0000000,26512.0000000,26528.0000000,2410
SPFB.GAZR-12.19,60,20191105,220000,26525.0000000,26546.0000000,26512.0000000,26544.0000000,623
SPFB.GAZR-12.19,60,20191105,230000,26544.0000000,26590.0000000,26538.0000000,26590.0000000,1420
SPFB.GAZR-12.19,60,20191106,000000,26584.0000000,26590.0000000,26541.0000000,26562.0000000,1163
SPFB.GAZR-12.19,60,20191106,110000,26538.0000000,26555.0000000,26352.0000000,26460.0000000,20688
SPFB.GAZR-12.19,60,20191106,120000,26468.0000000,26489.0000000,26107.0000000,26250.0000000,32218
SPFB.GAZR-12.19,60,20191106,130000,26256.0000000,26365.0000000,26242.0000000,26306.0000000,9741
SPFB.GAZR-12.19,60,20191106,140000,26308.0000000,26465.0000000,26239.0000000,26450.0000000,11619
SPFB.GAZR-12.19,60,20191106,150000,26450.0000000,26597.0000000,26442.0000000,26527.0000000,23102
SPFB.GAZR-12.19,60,20191106,160000,26526.0000000,26713.0000000,26514.0000000,26685.0000000,21483
SPFB.GAZR-12.19,60,20191106,170000,26687.0000000,26866.0000000,26580.0000000,26767.0000000,32871
SPFB.GAZR-12.19,60,20191106,180000,26768.0000000,26834.0000000,26671.0000000,26715.0000000,17144
SPFB.GAZR-12.19,60,20191106,190000,26715.0000000,26899.0000000,26693.0000000,26889.0000000,19022
SPFB.GAZR-12.19,60,20191106,200000,26900.0000000,26947.0000000,26544.0000000,26688.0000000,18110
SPFB.GAZR-12.19,60,20191106,210000,26687.0000000,26748.0000000,26661.0000000,26725.0000000,4543
SPFB.GAZR-12.19,60,20191106,220000,26720.0000000,26765.0000000,26712.0000000,26751.0000000,1488
SPFB.GAZR-12.19,60,20191106,230000,26752.0000000,26779.0000000,26736.0000000,26764.0000000,632
SPFB.GAZR-12.19,60,20191107,000000,26767.0000000,26807.0000000,26752.0000000,26779.0000000,1495
SPFB.GAZR-12.19,60,20191107,110000,26786.0000000,27016.0000000,26703.0000000,26900.0000000,50857
SPFB.GAZR-12.19,60,20191107,120000,26900.0000000,26929.0000000,26673.0000000,26831.0000000,32479
SPFB.GAZR-12.19,60,20191107,130000,26832.0000000,26988.0000000,26828.0000000,26954.0000000,22753
SPFB.GAZR-12.19,60,20191107,140000,26956.0000000,26985.0000000,26879.0000000,26969.0000000,10659
SPFB.GAZR-12.19,60,20191107,150000,26967.0000000,27295.0000000,26965.0000000,27182.0000000,51540
SPFB.GAZR-12.19,60,20191107,160000,27180.0000000,27484.0000000,27179.0000000,27336.0000000,42570
SPFB.GAZR-12.19,60,20191107,170000,27338.0000000,27423.0000000,27202.0000000,27382.0000000,22209
SPFB.GAZR-12.19,60,20191107,180000,27388.0000000,27424.0000000,27228.0000000,27273.0000000,12803
SPFB.GAZR-12.19,60,20191107,190000,27275.0000000,27350.0000000,27196.0000000,27292.0000000,22034
