<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.GMKR-12.19,60,20191105,110000,183067.0000000,183910.0000000,181558.0000000,182100.0000000,685
SPFB.GMKR-12.19,60,20191105,120000,182065.0000000,182293.0000000,181512.0000000,182293.0000000,129
SPFB.GMKR-12.19,60,20191105,130000,182107.0000000,182183.0000000,181320.0000000,181600.0000000,91
SPFB.GMKR-12.19,60,20191105,140000,181606.0000000,182220.0000000,181400.0000000,182007.0000000,67
SPFB.GMKR-12.19,60,20191105,150000,182200.0000000,182200.0000000,181751.0000000,181993.0000000,51
SPFB.GMKR-12.19,60,20191105,160000,182027.0000000,182029.0000000,181690.0000000,181690.0000000,84
SPFB.GMKR-12.19,60,20191105,170000,181670.0000000,181969.0000000,181459.0000000,181541.0000000,67
SPFB.GMKR-12.19,60,20191105,180000,181436.0000000,181720.0000000,181306.0000000,181711.0000000,46
SPFB.GMKR-12.19,60,20191105,190000,181817.0000000,182700.0000000,181817.0000000,182600.0000000,129
SPFB.GMKR-12.19,60,20191105,200000,181853.0000000,182893.0000000,181853.0000000,182628.0000000,24
SPFB.GMKR-12.19,60,20191105,210000,182689.0000000,182689.0000000,182357.0000000,182357.0000000,3
SPFB.GMKR-12.19,60,20191105,220000,182661.0000000,182764.0000000,182661.0000000,182764.0000000,5
SPFB.GMKR-12.19,60,20191105,230000,182789.0000000,182789.0000000,182600.0000000,182600.0000000,2
SPFB.GMKR-12.19,60,20191106,000000,182691.0000000,182700.0000000,182439.0000000,182700.0000000,8
SPFB.GMKR-12.19,60,20191106,110000,182205.0000000,183108.0000000,181729.0000000,182437.0000000,131
SPFB.GMKR-12.19,60,20191106,120000,182491.0000000,182620.0000000,181500.0000000,182009.0000000,95
SPFB.GMKR-12.19,60,20191106,130000,182150.0000000,182283.0000000,181540.0000000,181638.0000000,53
SPFB.GMKR-12.19,60,20191106,140000,181746.0000000,182318.0000000,181710.0000000,182220.0000000,115
SPFB.GMKR-12.19,60,20191106,150000,182288.0000000,182500.0000000,182239.0000000,182387.0000000,102
SPFB.GMKR-12.19,60,20191106,160000,182404.0000000,182556.0000000,182220.0000000,182380.0000000,61
