<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.GOLD-12.19,60,20191105,110000,1518.9000000,1518.9000000,1507.7000000,1511.6000000,8317
SPFB.GOLD-12.19,60,20191105,120000,1511.4000000,1512.2000000,1509.3000000,1509.5000000,3890
SPFB.GOLD-12.19,60,20191105,130000,1509.7000000,1511.1000000,1508.7000000,1510.4000000,3735
SPFB.GOLD-12.19,60,20191105,140000,1510.4000000,1510.5000000,1508.5000000,1508.7000000,3810
SPFB.GOLD-12.19,60,20191105,150000,1508.9000000,1510.3000000,1507.0000000,1508.7000000,5006
SPFB.GOLD-12.19,60,20191105,160000,1508.7000000,1508.9000000,1503.4000000,1504.8000000,7915
SPFB.GOLD-12.19,60,20191105,170000,1504.8000000,1506.2000000,1495.2000000,1496.4000000,17506
SPFB.GOLD-12.19,60,20191105,180000,1496.4000000,1500.0000000,1495.1000000,1499.2000000,13109
SPFB.GOLD-12.19,60,20191105,190000,1499.5000000,1499.5000000,1490.0000000,1492.2000000,16341
SPFB.GOLD-12.19,60,20191105,200000,1491.6000000,1491.8000000,1485.0000000,1486.4000000,14617
SPFB.GOLD-12.19,60,20191105,210000,1486.4000000,1489.2000000,1485.9000000,1488.2000000,4396
SPFB.GOLD-12.19,60,20191105,220000,1488.6000000,1488.9000000,1484.3000000,1487.0000000,7682
SPFB.GOLD-12.19,60,20191105,230000,1487.0000000,1489.2000000,1486.6000000,1488.3000000,2684
SPFB.GOLD-12.19,60,20191106,000000,1488.4000000,1490.0000000,1488.2000000,1489.6000000,1554
SPFB.GOLD-12.19,60,20191106,110000,1489.9000000,1491.6000000,1489.7000000,1490.4000000,3711
SPFB.GOLD-12.19,60,20191106,120000,1490.4000000,1491.1000000,1488.2000000,1491.0000000,5689
SPFB.GOLD-12.19,60,20191106,130000,1491.0000000,1493.1000000,1490.2000000,1492.9000000,3250
SPFB.GOLD-12.19,60,20191106,140000,1493.2000000,1493.4000000,1490.1000000,1490.3000000,4587
SPFB.GOLD-12.19,60,20191106,150000,1490.1000000,1491.2000000,1488.9000000,1490.2000000,4451
SPFB.GOLD-12.19,60,20191106,160000,1490.3000000,1490.4000000,1487.1000000,1489.7000000,5133
SPFB.GOLD-12.19,60,20191106,170000,1490.1000000,1494.7000000,1489.2000000,1493.4000000,10289
SPFB.GOLD-12.19,60,20191106,180000,1493.6000000,1494.0000000,1490.7000000,1491.7000000,6316
SPFB.GOLD-12.19,60,20191106,190000,1491.2000000,1492.7000000,1490.6000000,1492.6000000,2403
SPFB.GOLD-12.19,60,20191106,200000,1492.9000000,1498.8000000,1489.8000000,1497.3000000,10798
SPFB.GOLD-12.19,60,20191106,210000,1497.1000000,1497.8000000,1494.0000000,1494.3000000,5724
SPFB.GOLD-12.19,60,20191106,220000,1494.3000000,1496.6000000,1494.2000000,1495.2000000,3985
SPFB.GOLD-12.19,60,20191106,230000,1495.4000000,1497.3000000,1495.2000000,1495.7000000,1390
SPFB.GOLD-12.19,60,20191107,000000,1495.5000000,1496.3000000,1495.3000000,1495.9000000,1256
SPFB.GOLD-12.19,60,20191107,110000,1495.9000000,1496.7000000,1488.9000000,1491.1000000,12599
SPFB.GOLD-12.19,60,20191107,120000,1491.2000000,1492.7000000,1490.2000000,1491.6000000,3697
SPFB.GOLD-12.19,60,20191107,130000,1491.7000000,1491.7000000,1489.0000000,1490.0000000,5019
SPFB.GOLD-12.19,60,20191107,140000,1490.0000000,1490.0000000,1486.1000000,1486.5000000,7305
SPFB.GOLD-12.19,60,20191107,150000,1486.3000000,1488.4000000,1485.1000000,1487.6000000,4092
SPFB.GOLD-12.19,60,20191107,160000,1487.9000000,1490.2000000,1486.9000000,1488.5000000,7563
SPFB.GOLD-12.19,60,20191107,170000,1489.0000000,1490.7000000,1485.6000000,1488.7000000,5879
SPFB.GOLD-12.19,60,20191107,180000,1488.3000000,1492.1000000,1487.1000000,1488.5000000,8290
SPFB.GOLD-12.19,60,20191107,190000,1488.3000000,1488.7000000,1477.0000000,1478.9000000,20533
SPFB.GOLD-12.19,60,20191107,200000,1477.0000000,1477.1000000,1465.3000000,1465.6000000,37310
SPFB.GOLD-12.19,60,20191107,210000,1465.7000000,1469.9000000,1464.3000000,1467.9000000,21423
SPFB.GOLD-12.19,60,20191107,220000,1468.1000000,1471.1000000,1467.0000000,1469.5000000,16729
SPFB.GOLD-12.19,60,20191107,230000,1469.6000000,1473.4000000,1468.4000000,1472.0000000,5731
SPFB.GOLD-12.19,60,20191108,000000,1471.9000000,1474.9000000,1471.6000000,1472.2000000,4410
SPFB.GOLD-12.19,60,20191108,110000,1472.8000000,1475.9000000,1472.1000000,1475.8000000,12130
SPFB.GOLD-12.19,60,20191108,120000,1475.8000000,1477.2000000,1473.9000000,1474.4000000,9137
SPFB.GOLD-12.19,60,20191108,130000,1474.4000000,1474.4000000,1469.7000000,1470.0000000,10742
SPFB.GOLD-12.19,60,20191108,140000,1469.7000000,1471.7000000,1469.5000000,1470.3000000,3840
SPFB.GOLD-12.19,60,20191108,150000,1470.5000000,1470.7000000,1466.0000000,1466.2000000,9103
SPFB.GOLD-12.19,60,20191108,160000,1466.5000000,1466.9000000,1460.2000000,1462.7000000,18890
SPFB.GOLD-12.19,60,20191108,170000,1462.9000000,1466.0000000,1461.5000000,1464.0000000,9896
SPFB.GOLD-12.19,60,20191108,180000,1463.8000000,1470.6000000,1462.3000000,1469.5000000,14780
SPFB.GOLD-12.19,60,20191108,190000,1469.5000000,1472.2000000,1467.0000000,1469.5000000,14986
SPFB.GOLD-12.19,60,20191108,200000,1470.7000000,1472.3000000,1465.0000000,1468.6000000,8465
SPFB.GOLD-12.19,60,20191108,210000,1468.4000000,1468.4000000,1464.3000000,1465.8000000,7545
SPFB.GOLD-12.19,60,20191108,220000,1466.2000000,1467.7000000,1465.1000000,1466.8000000,2290
SPFB.GOLD-12.19,60,20191108,230000,1466.7000000,1466.8000000,1465.2000000,1466.0000000,1563
