<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.HYDR-12.19,60,20191105,110000,5154.0000000,5250.0000000,5154.0000000,5204.0000000,1602
SPFB.HYDR-12.19,60,20191105,120000,5210.0000000,5272.0000000,5210.0000000,5245.0000000,1562
SPFB.HYDR-12.19,60,20191105,130000,5247.0000000,5265.0000000,5231.0000000,5235.0000000,589
SPFB.HYDR-12.19,60,20191105,140000,5236.0000000,5260.0000000,5234.0000000,5254.0000000,546
SPFB.HYDR-12.19,60,20191105,150000,5250.0000000,5293.0000000,5248.0000000,5293.0000000,932
SPFB.HYDR-12.19,60,20191105,160000,5293.0000000,5305.0000000,5274.0000000,5274.0000000,1049
SPFB.HYDR-12.19,60,20191105,170000,5271.0000000,5295.0000000,5267.0000000,5285.0000000,383
SPFB.HYDR-12.19,60,20191105,180000,5288.0000000,5310.0000000,5270.0000000,5270.0000000,428
SPFB.HYDR-12.19,60,20191105,190000,5276.0000000,5284.0000000,5267.0000000,5272.0000000,300
SPFB.HYDR-12.19,60,20191105,200000,5270.0000000,5329.0000000,5270.0000000,5300.0000000,174
SPFB.HYDR-12.19,60,20191105,210000,5296.0000000,5301.0000000,5294.0000000,5299.0000000,26
SPFB.HYDR-12.19,60,20191105,220000,5298.0000000,5302.0000000,5295.0000000,5295.0000000,14
SPFB.HYDR-12.19,60,20191105,230000,5301.0000000,5315.0000000,5295.0000000,5315.0000000,86
SPFB.HYDR-12.19,60,20191106,000000,5306.0000000,5314.0000000,5303.0000000,5314.0000000,45
SPFB.HYDR-12.19,60,20191106,110000,5289.0000000,5355.0000000,5274.0000000,5345.0000000,1840
SPFB.HYDR-12.19,60,20191106,120000,5342.0000000,5343.0000000,5324.0000000,5332.0000000,814
SPFB.HYDR-12.19,60,20191106,130000,5329.0000000,5357.0000000,5329.0000000,5349.0000000,540
SPFB.HYDR-12.19,60,20191106,140000,5351.0000000,5378.0000000,5351.0000000,5367.0000000,890
SPFB.HYDR-12.19,60,20191106,150000,5367.0000000,5370.0000000,5349.0000000,5349.0000000,683
SPFB.HYDR-12.19,60,20191106,160000,5348.0000000,5363.0000000,5343.0000000,5359.0000000,266
SPFB.HYDR-12.19,60,20191106,170000,5359.0000000,5375.0000000,5350.0000000,5374.0000000,261
SPFB.HYDR-12.19,60,20191106,180000,5363.0000000,5367.0000000,5346.0000000,5348.0000000,648
SPFB.HYDR-12.19,60,20191106,190000,5348.0000000,5360.0000000,5343.0000000,5356.0000000,741
SPFB.HYDR-12.19,60,20191106,200000,5346.0000000,5360.0000000,5345.0000000,5346.0000000,67
SPFB.HYDR-12.19,60,20191106,210000,5344.0000000,5344.0000000,5320.0000000,5331.0000000,148
SPFB.HYDR-12.19,60,20191106,220000,5333.0000000,5334.0000000,5329.0000000,5329.0000000,30
SPFB.HYDR-12.19,60,20191106,230000,5339.0000000,5370.0000000,5339.0000000,5348.0000000,118
SPFB.HYDR-12.19,60,20191107,000000,5347.0000000,5350.0000000,5322.0000000,5347.0000000,76
SPFB.HYDR-12.19,60,20191107,110000,5348.0000000,5399.0000000,5334.0000000,5372.0000000,971
SPFB.HYDR-12.19,60,20191107,120000,5372.0000000,5394.0000000,5339.0000000,5386.0000000,820
SPFB.HYDR-12.19,60,20191107,130000,5389.0000000,5499.0000000,5389.0000000,5427.0000000,6745
SPFB.HYDR-12.19,60,20191107,140000,5435.0000000,5448.0000000,5406.0000000,5436.0000000,794
SPFB.HYDR-12.19,60,20191107,150000,5433.0000000,5438.0000000,5406.0000000,5415.0000000,583
SPFB.HYDR-12.19,60,20191107,160000,5413.0000000,5431.0000000,5405.0000000,5419.0000000,126
SPFB.HYDR-12.19,60,20191107,170000,5427.0000000,5442.0000000,5417.0000000,5417.0000000,229
SPFB.HYDR-12.19,60,20191107,180000,5418.0000000,5422.0000000,5414.0000000,5416.0000000,72
SPFB.HYDR-12.19,60,20191107,190000,5410.0000000,5417.0000000,5400.0000000,5404.0000000,317
SPFB.HYDR-12.19,60,20191107,200000,5396.0000000,5410.0000000,5380.0000000,5410.0000000,44
SPFB.HYDR-12.19,60,20191107,210000,5407.0000000,5407.0000000,5395.0000000,5395.0000000,20
SPFB.HYDR-12.19,60,20191107,220000,5395.0000000,5401.0000000,5392.0000000,5392.0000000,16
SPFB.HYDR-12.19,60,20191107,230000,5393.0000000,5394.0000000,5380.0000000,5380.0000000,37
SPFB.HYDR-12.19,60,20191108,000000,5380.0000000,5400.0000000,5380.0000000,5400.0000000,12
