<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.LKOH-12.19,60,20191105,110000,59081.0000000,59769.0000000,59081.0000000,59418.0000000,3671
SPFB.LKOH-12.19,60,20191105,120000,59418.0000000,59418.0000000,58900.0000000,59409.0000000,3012
SPFB.LKOH-12.19,60,20191105,130000,59405.0000000,59436.0000000,58864.0000000,59045.0000000,2012
SPFB.LKOH-12.19,60,20191105,140000,59020.0000000,59086.0000000,58892.0000000,59072.0000000,1460
SPFB.LKOH-12.19,60,20191105,150000,59054.0000000,59072.0000000,58816.0000000,58900.0000000,1070
SPFB.LKOH-12.19,60,20191105,160000,58900.0000000,59012.0000000,58881.0000000,58910.0000000,872
SPFB.LKOH-12.19,60,20191105,170000,58935.0000000,58974.0000000,58509.0000000,58697.0000000,1530
SPFB.LKOH-12.19,60,20191105,180000,58740.0000000,58767.0000000,58507.0000000,58585.0000000,2218
SPFB.LKOH-12.19,60,20191105,190000,58617.0000000,58784.0000000,58416.0000000,58714.0000000,3073
SPFB.LKOH-12.19,60,20191105,200000,58800.0000000,59020.0000000,58800.0000000,59013.0000000,1721
SPFB.LKOH-12.19,60,20191105,210000,59020.0000000,59068.0000000,59002.0000000,59039.0000000,198
SPFB.LKOH-12.19,60,20191105,220000,59035.0000000,59051.0000000,58966.0000000,59051.0000000,137
SPFB.LKOH-12.19,60,20191105,230000,59051.0000000,59231.0000000,59051.0000000,59156.0000000,278
SPFB.LKOH-12.19,60,20191106,000000,59137.0000000,59148.0000000,58999.0000000,59074.0000000,157
SPFB.LKOH-12.19,60,20191106,110000,59005.0000000,59040.0000000,58676.0000000,58850.0000000,2528
SPFB.LKOH-12.19,60,20191106,120000,58883.0000000,58919.0000000,58590.0000000,58841.0000000,2003
SPFB.LKOH-12.19,60,20191106,130000,58825.0000000,59239.0000000,58785.0000000,59143.0000000,1296
SPFB.LKOH-12.19,60,20191106,140000,59139.0000000,59418.0000000,59103.0000000,59388.0000000,1530
SPFB.LKOH-12.19,60,20191106,150000,59388.0000000,59560.0000000,59302.0000000,59373.0000000,3364
SPFB.LKOH-12.19,60,20191106,160000,59392.0000000,59945.0000000,59385.0000000,59833.0000000,3506
SPFB.LKOH-12.19,60,20191106,170000,59847.0000000,60187.0000000,59685.0000000,60071.0000000,6147
SPFB.LKOH-12.19,60,20191106,180000,60103.0000000,60185.0000000,59757.0000000,59863.0000000,4676
SPFB.LKOH-12.19,60,20191106,190000,59859.0000000,60150.0000000,59834.0000000,60149.0000000,2277
SPFB.LKOH-12.19,60,20191106,200000,59935.0000000,60169.0000000,59007.0000000,59401.0000000,4840
SPFB.LKOH-12.19,60,20191106,210000,59353.0000000,59580.0000000,59335.0000000,59494.0000000,769
SPFB.LKOH-12.19,60,20191106,220000,59491.0000000,59750.0000000,59429.0000000,59583.0000000,1776
SPFB.LKOH-12.19,60,20191106,230000,59606.0000000,59876.0000000,59590.0000000,59775.0000000,633
SPFB.LKOH-12.19,60,20191107,000000,59760.0000000,59920.0000000,59740.0000000,59900.0000000,312
SPFB.LKOH-12.19,60,20191107,110000,59890.0000000,60187.0000000,59616.0000000,59983.0000000,9469
SPFB.LKOH-12.19,60,20191107,120000,59983.0000000,60049.0000000,59733.0000000,59768.0000000,4132
SPFB.LKOH-12.19,60,20191107,130000,59768.0000000,59860.0000000,59678.0000000,59796.0000000,2434
SPFB.LKOH-12.19,60,20191107,140000,59772.0000000,59861.0000000,59731.0000000,59845.0000000,1637
SPFB.LKOH-12.19,60,20191107,150000,59859.0000000,59938.0000000,59838.0000000,59893.0000000,2920
SPFB.LKOH-12.19,60,20191107,160000,59878.0000000,59924.0000000,59807.0000000,59863.0000000,1174
SPFB.LKOH-12.19,60,20191107,170000,59855.0000000,60100.0000000,59822.0000000,60011.0000000,2280
SPFB.LKOH-12.19,60,20191107,180000,59996.0000000,60105.0000000,59950.0000000,60092.0000000,2429
SPFB.LKOH-12.19,60,20191107,190000,60099.0000000,60179.0000000,59954.0000000,60150.0000000,7884
SPFB.LKOH-12.19,60,20191107,200000,60085.0000000,60142.0000000,59990.0000000,60053.0000000,446
SPFB.LKOH-12.19,60,20191107,210000,60085.0000000,60100.0000000,60006.0000000,60007.0000000,282
SPFB.LKOH-12.19,60,20191107,220000,60007.0000000,60068.0000000,59805.0000000,59884.0000000,314
SPFB.LKOH-12.19,60,20191107,230000,59923.0000000,59978.0000000,59872.0000000,59898.0000000,126
SPFB.LKOH-12.19,60,20191108,000000,59891.0000000,60070.0000000,59873.0000000,60050.0000000,104
SPFB.LKOH-12.19,60,20191108,110000,59945.0000000,60093.0000000,59605.0000000,59766.0000000,1990
SPFB.LKOH-12.19,60,20191108,120000,59779.0000000,59947.0000000,59381.0000000,59397.0000000,2366
SPFB.LKOH-12.19,60,20191108,130000,59411.0000000,59669.0000000,59371.0000000,59514.0000000,1607
SPFB.LKOH-12.19,60,20191108,140000,59500.0000000,59574.0000000,58863.0000000,59026.0000000,1684
SPFB.LKOH-12.19,60,20191108,150000,58950.0000000,59150.0000000,58820.0000000,58956.0000000,968
SPFB.LKOH-12.19,60,20191108,160000,58970.0000000,59040.0000000,58857.0000000,58981.0000000,618
SPFB.LKOH-12.19,60,20191108,170000,58996.0000000,59240.0000000,58891.0000000,58991.0000000,826
SPFB.LKOH-12.19,60,20191108,180000,58982.0000000,59010.0000000,58754.0000000,58899.0000000,969
SPFB.LKOH-12.19,60,20191108,190000,58867.0000000,59245.0000000,58770.0000000,59190.0000000,1230
SPFB.LKOH-12.19,60,20191108,200000,59185.0000000,59398.0000000,59102.0000000,59305.0000000,782
SPFB.LKOH-12.19,60,20191108,210000,59305.0000000,59349.0000000,59229.0000000,59273.0000000,276
SPFB.LKOH-12.19,60,20191108,220000,59273.0000000,59292.0000000,59249.0000000,59268.0000000,66
SPFB.LKOH-12.19,60,20191108,230000,59265.0000000,59338.0000000,59248.0000000,59295.0000000,51
SPFB.LKOH-12.19,60,20191109,000000,59258.0000000,59389.0000000,59257.0000000,59389.0000000,102
SPFB.LKOH-12.19,60,20191111,110000,59298.0000000,59298.0000000,58621.0000000,58736.0000000,2010
SPFB.LKOH-12.19,60,20191111,120000,58724.0000000,58956.0000000,58458.0000000,58489.0000000,3113
SPFB.LKOH-12.19,60,20191111,130000,58493.0000000,58941.0000000,58337.0000000,58829.0000000,2627
SPFB.LKOH-12.19,60,20191111,140000,58850.0000000,58893.0000000,58694.0000000,58820.0000000,779
SPFB.LKOH-12.19,60,20191111,150000,58850.0000000,58911.0000000,58768.0000000,58874.0000000,4173
SPFB.LKOH-12.19,60,20191111,160000,58874.0000000,59015.0000000,58639.0000000,58698.0000000,1731
SPFB.LKOH-12.19,60,20191111,170000,58692.0000000,58823.0000000,58661.0000000,58793.0000000,648
SPFB.LKOH-12.19,60,20191111,180000,58809.0000000,59049.0000000,58739.0000000,59021.0000000,1085
SPFB.LKOH-12.19,60,20191111,190000,59043.0000000,59248.0000000,58982.0000000,59212.0000000,1968
SPFB.LKOH-12.19,60,20191111,200000,59101.0000000,59106.0000000,58684.0000000,58900.0000000,1809
SPFB.LKOH-12.19,60,20191111,210000,58895.0000000,59077.0000000,58877.0000000,58990.0000000,165
SPFB.LKOH-12.19,60,20191111,220000,58990.0000000,59164.0000000,58980.0000000,59164.0000000,211
SPFB.LKOH-12.19,60,20191111,230000,59132.0000000,59260.0000000,59011.0000000,59059.0000000,296
SPFB.LKOH-12.19,60,20191112,000000,59058.0000000,59095.0000000,59041.0000000,59086.0000000,126
SPFB.LKOH-12.19,60,20191112,110000,59179.0000000,59736.0000000,59031.0000000,59625.0000000,3431
SPFB.LKOH-12.19,60,20191112,120000,59619.0000000,59714.0000000,59302.0000000,59388.0000000,2292
