<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.MGNT-12.19,60,20191105,110000,3286.0000000,3334.0000000,3286.0000000,3325.0000000,10480
SPFB.MGNT-12.19,60,20191105,120000,3322.0000000,3352.0000000,3320.0000000,3339.0000000,11403
SPFB.MGNT-12.19,60,20191105,130000,3339.0000000,3339.0000000,3315.0000000,3328.0000000,2127
SPFB.MGNT-12.19,60,20191105,140000,3329.0000000,3335.0000000,3316.0000000,3320.0000000,1573
SPFB.MGNT-12.19,60,20191105,150000,3320.0000000,3331.0000000,3315.0000000,3329.0000000,889
SPFB.MGNT-12.19,60,20191105,160000,3330.0000000,3334.0000000,3324.0000000,3333.0000000,373
SPFB.MGNT-12.19,60,20191105,170000,3331.0000000,3339.0000000,3330.0000000,3337.0000000,1349
SPFB.MGNT-12.19,60,20191105,180000,3337.0000000,3353.0000000,3327.0000000,3330.0000000,5764
SPFB.MGNT-12.19,60,20191105,190000,3329.0000000,3338.0000000,3327.0000000,3338.0000000,2280
SPFB.MGNT-12.19,60,20191105,200000,3347.0000000,3349.0000000,3336.0000000,3336.0000000,209
SPFB.MGNT-12.19,60,20191105,210000,3336.0000000,3345.0000000,3336.0000000,3345.0000000,179
SPFB.MGNT-12.19,60,20191105,220000,3345.0000000,3345.0000000,3342.0000000,3345.0000000,196
SPFB.MGNT-12.19,60,20191105,230000,3341.0000000,3349.0000000,3341.0000000,3348.0000000,74
SPFB.MGNT-12.19,60,20191106,000000,3345.0000000,3350.0000000,3345.0000000,3349.0000000,304
SPFB.MGNT-12.19,60,20191106,110000,3342.0000000,3342.0000000,3321.0000000,3326.0000000,5209
SPFB.MGNT-12.19,60,20191106,120000,3328.0000000,3347.0000000,3326.0000000,3343.0000000,2132
SPFB.MGNT-12.19,60,20191106,130000,3342.0000000,3347.0000000,3333.0000000,3341.0000000,1635
SPFB.MGNT-12.19,60,20191106,140000,3341.0000000,3364.0000000,3341.0000000,3364.0000000,3868
SPFB.MGNT-12.19,60,20191106,150000,3364.0000000,3370.0000000,3346.0000000,3352.0000000,1827
SPFB.MGNT-12.19,60,20191106,160000,3350.0000000,3358.0000000,3349.0000000,3356.0000000,649
SPFB.MGNT-12.19,60,20191106,170000,3356.0000000,3361.0000000,3346.0000000,3357.0000000,2450
SPFB.MGNT-12.19,60,20191106,180000,3358.0000000,3369.0000000,3356.0000000,3367.0000000,2201
SPFB.MGNT-12.19,60,20191106,190000,3367.0000000,3368.0000000,3348.0000000,3349.0000000,1892
SPFB.MGNT-12.19,60,20191106,200000,3349.0000000,3358.0000000,3336.0000000,3342.0000000,4999
SPFB.MGNT-12.19,60,20191106,210000,3342.0000000,3352.0000000,3341.0000000,3343.0000000,269
SPFB.MGNT-12.19,60,20191106,220000,3343.0000000,3348.0000000,3341.0000000,3345.0000000,71
SPFB.MGNT-12.19,60,20191106,230000,3345.0000000,3348.0000000,3340.0000000,3346.0000000,214
SPFB.MGNT-12.19,60,20191107,000000,3346.0000000,3347.0000000,3339.0000000,3347.0000000,122
SPFB.MGNT-12.19,60,20191107,110000,3345.0000000,3375.0000000,3345.0000000,3363.0000000,5401
SPFB.MGNT-12.19,60,20191107,120000,3362.0000000,3365.0000000,3324.0000000,3349.0000000,5769
SPFB.MGNT-12.19,60,20191107,130000,3350.0000000,3359.0000000,3347.0000000,3354.0000000,1025
SPFB.MGNT-12.19,60,20191107,140000,3352.0000000,3360.0000000,3346.0000000,3354.0000000,1957
SPFB.MGNT-12.19,60,20191107,150000,3352.0000000,3360.0000000,3346.0000000,3358.0000000,1541
SPFB.MGNT-12.19,60,20191107,160000,3357.0000000,3367.0000000,3354.0000000,3367.0000000,1009
SPFB.MGNT-12.19,60,20191107,170000,3367.0000000,3377.0000000,3360.0000000,3372.0000000,1642
SPFB.MGNT-12.19,60,20191107,180000,3373.0000000,3374.0000000,3355.0000000,3358.0000000,1171
SPFB.MGNT-12.19,60,20191107,190000,3358.0000000,3365.0000000,3331.0000000,3365.0000000,7160
SPFB.MGNT-12.19,60,20191107,200000,3356.0000000,3358.0000000,3348.0000000,3350.0000000,231
SPFB.MGNT-12.19,60,20191107,210000,3350.0000000,3350.0000000,3345.0000000,3349.0000000,297
SPFB.MGNT-12.19,60,20191107,220000,3347.0000000,3349.0000000,3344.0000000,3344.0000000,168
SPFB.MGNT-12.19,60,20191107,230000,3343.0000000,3344.0000000,3341.0000000,3344.0000000,392
SPFB.MGNT-12.19,60,20191108,000000,3342.0000000,3345.0000000,3338.0000000,3338.0000000,178
SPFB.MGNT-12.19,60,20191108,110000,3345.0000000,3353.0000000,3338.0000000,3347.0000000,2715
SPFB.MGNT-12.19,60,20191108,120000,3348.0000000,3359.0000000,3338.0000000,3342.0000000,2340
SPFB.MGNT-12.19,60,20191108,130000,3342.0000000,3344.0000000,3313.0000000,3331.0000000,4731
SPFB.MGNT-12.19,60,20191108,140000,3331.0000000,3335.0000000,3283.0000000,3308.0000000,7595
SPFB.MGNT-12.19,60,20191108,150000,3308.0000000,3318.0000000,3297.0000000,3313.0000000,4104
SPFB.MGNT-12.19,60,20191108,160000,3313.0000000,3316.0000000,3304.0000000,3306.0000000,1892
SPFB.MGNT-12.19,60,20191108,170000,3306.0000000,3307.0000000,3256.0000000,3287.0000000,13666
SPFB.MGNT-12.19,60,20191108,180000,3285.0000000,3300.0000000,3281.0000000,3299.0000000,3129
SPFB.MGNT-12.19,60,20191108,190000,3299.0000000,3322.0000000,3295.0000000,3310.0000000,2602
SPFB.MGNT-12.19,60,20191108,200000,3314.0000000,3318.0000000,3309.0000000,3310.0000000,155
SPFB.MGNT-12.19,60,20191108,210000,3310.0000000,3315.0000000,3306.0000000,3311.0000000,264
SPFB.MGNT-12.19,60,20191108,220000,3313.0000000,3325.0000000,3311.0000000,3324.0000000,643
SPFB.MGNT-12.19,60,20191108,230000,3321.0000000,3326.0000000,3321.0000000,3326.0000000,331
SPFB.MGNT-12.19,60,20191109,000000,3324.0000000,3328.0000000,3324.0000000,3327.0000000,360
SPFB.MGNT-12.19,60,20191111,110000,3318.0000000,3344.0000000,3308.0000000,3340.0000000,6266
SPFB.MGNT-12.19,60,20191111,120000,3340.0000000,3342.0000000,3326.0000000,3335.0000000,2667
SPFB.MGNT-12.19,60,20191111,130000,3337.0000000,3341.0000000,3322.0000000,3328.0000000,2543
SPFB.MGNT-12.19,60,20191111,140000,3329.0000000,3330.0000000,3306.0000000,3311.0000000,2593
SPFB.MGNT-12.19,60,20191111,150000,3313.0000000,3327.0000000,3312.0000000,3324.0000000,2115
SPFB.MGNT-12.19,60,20191111,160000,3325.0000000,3327.0000000,3322.0000000,3323.0000000,654
SPFB.MGNT-12.19,60,20191111,170000,3324.0000000,3326.0000000,3321.0000000,3323.0000000,764
SPFB.MGNT-12.19,60,20191111,180000,3322.0000000,3322.0000000,3313.0000000,3319.0000000,886
SPFB.MGNT-12.19,60,20191111,190000,3317.0000000,3327.0000000,3314.0000000,3325.0000000,2029
SPFB.MGNT-12.19,60,20191111,200000,3334.0000000,3334.0000000,3316.0000000,3321.0000000,279
SPFB.MGNT-12.19,60,20191111,210000,3323.0000000,3323.0000000,3317.0000000,3317.0000000,145
SPFB.MGNT-12.19,60,20191111,220000,3320.0000000,3326.0000000,3320.0000000,3326.0000000,90
SPFB.MGNT-12.19,60,20191111,230000,3326.0000000,3326.0000000,3321.0000000,3323.0000000,76
SPFB.MGNT-12.19,60,20191112,000000,3325.0000000,3327.0000000,3325.0000000,3327.0000000,252
SPFB.MGNT-12.19,60,20191112,110000,3325.0000000,3348.0000000,3323.0000000,3341.0000000,3506
SPFB.MGNT-12.19,60,20191112,120000,3339.0000000,3350.0000000,3335.0000000,3339.0000000,2031
SPFB.MGNT-12.19,60,20191112,130000,3340.0000000,3344.0000000,3330.0000000,3341.0000000,2402
SPFB.MGNT-12.19,60,20191112,140000,3341.0000000,3370.0000000,3332.0000000,3369.0000000,4198
