<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.ROSN-12.19,60,20191105,110000,43842.0000000,44579.0000000,43842.0000000,44372.0000000,1524
SPFB.ROSN-12.19,60,20191105,120000,44357.0000000,45583.0000000,44321.0000000,45423.0000000,1692
SPFB.ROSN-12.19,60,20191105,130000,45420.0000000,45690.0000000,45131.0000000,45260.0000000,1044
SPFB.ROSN-12.19,60,20191105,140000,45255.0000000,45453.0000000,45236.0000000,45302.0000000,756
SPFB.ROSN-12.19,60,20191105,150000,45340.0000000,45395.0000000,45233.0000000,45256.0000000,733
SPFB.ROSN-12.19,60,20191105,160000,45296.0000000,45396.0000000,45251.0000000,45315.0000000,442
SPFB.ROSN-12.19,60,20191105,170000,45297.0000000,45630.0000000,45284.0000000,45298.0000000,2327
SPFB.ROSN-12.19,60,20191105,180000,45332.0000000,45376.0000000,45161.0000000,45306.0000000,597
SPFB.ROSN-12.19,60,20191105,190000,45316.0000000,45500.0000000,45229.0000000,45438.0000000,975
SPFB.ROSN-12.19,60,20191105,200000,45452.0000000,45855.0000000,45395.0000000,45622.0000000,632
SPFB.ROSN-12.19,60,20191105,210000,45645.0000000,45750.0000000,45645.0000000,45739.0000000,96
SPFB.ROSN-12.19,60,20191105,220000,45673.0000000,45996.0000000,45673.0000000,45874.0000000,350
SPFB.ROSN-12.19,60,20191105,230000,45893.0000000,46050.0000000,45893.0000000,46050.0000000,162
SPFB.ROSN-12.19,60,20191106,000000,46026.0000000,46026.0000000,45952.0000000,45952.0000000,60
SPFB.ROSN-12.19,60,20191106,110000,45862.0000000,45862.0000000,45300.0000000,45615.0000000,2367
SPFB.ROSN-12.19,60,20191106,120000,45556.0000000,45560.0000000,44721.0000000,44913.0000000,2857
SPFB.ROSN-12.19,60,20191106,130000,44870.0000000,45204.0000000,44870.0000000,45117.0000000,836
SPFB.ROSN-12.19,60,20191106,140000,45110.0000000,45473.0000000,45110.0000000,45473.0000000,706
SPFB.ROSN-12.19,60,20191106,150000,45446.0000000,45678.0000000,45440.0000000,45620.0000000,516
SPFB.ROSN-12.19,60,20191106,160000,45605.0000000,45719.0000000,45594.0000000,45671.0000000,338
SPFB.ROSN-12.19,60,20191106,170000,45645.0000000,45705.0000000,45401.0000000,45608.0000000,888
SPFB.ROSN-12.19,60,20191106,180000,45640.0000000,45704.0000000,45470.0000000,45532.0000000,430
SPFB.ROSN-12.19,60,20191106,190000,45555.0000000,45771.0000000,45521.0000000,45771.0000000,549
SPFB.ROSN-12.19,60,20191106,200000,45584.0000000,45826.0000000,45210.0000000,45350.0000000,547
SPFB.ROSN-12.19,60,20191106,210000,45339.0000000,45407.0000000,45227.0000000,45294.0000000,138
SPFB.ROSN-12.19,60,20191106,220000,45287.0000000,45425.0000000,45280.0000000,45406.0000000,191
SPFB.ROSN-12.19,60,20191106,230000,45406.0000000,45465.0000000,45375.0000000,45395.0000000,63
SPFB.ROSN-12.19,60,20191107,000000,45420.0000000,45443.0000000,45401.0000000,45443.0000000,22
SPFB.ROSN-12.19,60,20191107,110000,45499.0000000,45928.0000000,45411.0000000,45651.0000000,1290
SPFB.ROSN-12.19,60,20191107,120000,45647.0000000,46258.0000000,45589.0000000,46222.0000000,1631
SPFB.ROSN-12.19,60,20191107,130000,46215.0000000,46327.0000000,46142.0000000,46259.0000000,926
SPFB.ROSN-12.19,60,20191107,140000,46252.0000000,46417.0000000,46124.0000000,46375.0000000,1142
SPFB.ROSN-12.19,60,20191107,150000,46369.0000000,46412.0000000,46217.0000000,46299.0000000,324
SPFB.ROSN-12.19,60,20191107,160000,46298.0000000,46381.0000000,46190.0000000,46336.0000000,217
SPFB.ROSN-12.19,60,20191107,170000,46386.0000000,46389.0000000,46284.0000000,46378.0000000,285
SPFB.ROSN-12.19,60,20191107,180000,46373.0000000,46710.0000000,46316.0000000,46705.0000000,666
SPFB.ROSN-12.19,60,20191107,190000,46745.0000000,46794.0000000,46650.0000000,46731.0000000,853
SPFB.ROSN-12.19,60,20191107,200000,46719.0000000,46840.0000000,46524.0000000,46769.0000000,283
SPFB.ROSN-12.19,60,20191107,210000,46764.0000000,47270.0000000,46500.0000000,46650.0000000,423
SPFB.ROSN-12.19,60,20191107,220000,46580.0000000,46604.0000000,46399.0000000,46514.0000000,201
SPFB.ROSN-12.19,60,20191107,230000,46523.0000000,46523.0000000,46350.0000000,46450.0000000,157
SPFB.ROSN-12.19,60,20191108,000000,46405.0000000,46517.0000000,46405.0000000,46440.0000000,96
SPFB.ROSN-12.19,60,20191108,110000,46375.0000000,46615.0000000,46166.0000000,46350.0000000,1066
SPFB.ROSN-12.19,60,20191108,120000,46360.0000000,46594.0000000,46220.0000000,46479.0000000,642
SPFB.ROSN-12.19,60,20191108,130000,46485.0000000,46575.0000000,46241.0000000,46249.0000000,436
SPFB.ROSN-12.19,60,20191108,140000,46246.0000000,46300.0000000,46143.0000000,46206.0000000,522
SPFB.ROSN-12.19,60,20191108,150000,46190.0000000,46242.0000000,45866.0000000,45951.0000000,876
SPFB.ROSN-12.19,60,20191108,160000,45946.0000000,45963.0000000,45751.0000000,45823.0000000,403
