<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.19,60,20191105,110000,145500.0000000,147060.0000000,145500.0000000,146430.0000000,58997
SPFB.RTS-12.19,60,20191105,120000,146430.0000000,146810.0000000,146160.0000000,146790.0000000,38869
SPFB.RTS-12.19,60,20191105,130000,146790.0000000,146820.0000000,145630.0000000,145950.0000000,40031
SPFB.RTS-12.19,60,20191105,140000,145960.0000000,146360.0000000,145730.0000000,146110.0000000,24850
SPFB.RTS-12.19,60,20191105,150000,146110.0000000,146240.0000000,145810.0000000,145930.0000000,13356
SPFB.RTS-12.19,60,20191105,160000,145920.0000000,146090.0000000,145720.0000000,145760.0000000,13581
SPFB.RTS-12.19,60,20191105,170000,145760.0000000,145990.0000000,145330.0000000,145590.0000000,21182
SPFB.RTS-12.19,60,20191105,180000,145590.0000000,145850.0000000,145200.0000000,145570.0000000,31333
SPFB.RTS-12.19,60,20191105,190000,145560.0000000,145720.0000000,144820.0000000,144950.0000000,42781
SPFB.RTS-12.19,60,20191105,200000,145020.0000000,145500.0000000,145020.0000000,145460.0000000,15049
SPFB.RTS-12.19,60,20191105,210000,145460.0000000,145590.0000000,145340.0000000,145490.0000000,8076
SPFB.RTS-12.19,60,20191105,220000,145490.0000000,145880.0000000,145460.0000000,145870.0000000,12466
SPFB.RTS-12.19,60,20191105,230000,145880.0000000,146290.0000000,145810.0000000,146100.0000000,13902
SPFB.RTS-12.19,60,20191106,000000,146110.0000000,146120.0000000,145930.0000000,145930.0000000,3860
SPFB.RTS-12.19,60,20191106,110000,145920.0000000,145920.0000000,145170.0000000,145620.0000000,43312
SPFB.RTS-12.19,60,20191106,120000,145630.0000000,145670.0000000,144910.0000000,145070.0000000,41737
SPFB.RTS-12.19,60,20191106,130000,145060.0000000,145320.0000000,144800.0000000,144890.0000000,29142
SPFB.RTS-12.19,60,20191106,140000,144890.0000000,145640.0000000,144860.0000000,145620.0000000,28401
SPFB.RTS-12.19,60,20191106,150000,145610.0000000,145970.0000000,145560.0000000,145790.0000000,23791
SPFB.RTS-12.19,60,20191106,160000,145790.0000000,146280.0000000,145610.0000000,146170.0000000,24825
SPFB.RTS-12.19,60,20191106,170000,146170.0000000,146520.0000000,145830.0000000,146320.0000000,32969
SPFB.RTS-12.19,60,20191106,180000,146340.0000000,146540.0000000,145750.0000000,146030.0000000,42339
SPFB.RTS-12.19,60,20191106,190000,146040.0000000,146430.0000000,146030.0000000,146380.0000000,29154
SPFB.RTS-12.19,60,20191106,200000,146140.0000000,146370.0000000,141450.0000000,145240.0000000,65213
SPFB.RTS-12.19,60,20191106,210000,145230.0000000,145480.0000000,145040.0000000,145400.0000000,23325
SPFB.RTS-12.19,60,20191106,220000,145410.0000000,145460.0000000,145240.0000000,145450.0000000,8298
SPFB.RTS-12.19,60,20191106,230000,145450.0000000,145740.0000000,145410.0000000,145580.0000000,9611
SPFB.RTS-12.19,60,20191107,000000,145580.0000000,146030.0000000,145550.0000000,145990.0000000,8431
SPFB.RTS-12.19,60,20191107,110000,145910.0000000,147780.0000000,145720.0000000,147200.0000000,84302
SPFB.RTS-12.19,60,20191107,120000,147190.0000000,147300.0000000,146760.0000000,147200.0000000,33779
SPFB.RTS-12.19,60,20191107,130000,147210.0000000,147840.0000000,147210.0000000,147680.0000000,39307
SPFB.RTS-12.19,60,20191107,140000,147680.0000000,147780.0000000,147460.0000000,147630.0000000,23889
SPFB.RTS-12.19,60,20191107,150000,147640.0000000,147970.0000000,147620.0000000,147650.0000000,26871
SPFB.RTS-12.19,60,20191107,160000,147670.0000000,147900.0000000,147590.0000000,147810.0000000,20974
SPFB.RTS-12.19,60,20191107,170000,147790.0000000,147880.0000000,147630.0000000,147850.0000000,17561
SPFB.RTS-12.19,60,20191107,180000,147860.0000000,148220.0000000,147630.0000000,148130.0000000,40808
SPFB.RTS-12.19,60,20191107,190000,148120.0000000,148200.0000000,147840.0000000,148120.0000000,24228
SPFB.RTS-12.19,60,20191107,200000,148120.0000000,148150.0000000,147560.0000000,147980.0000000,31736
SPFB.RTS-12.19,60,20191107,210000,147980.0000000,148100.0000000,147770.0000000,148060.0000000,12451
