<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.SBRF-12.19,60,20191105,110000,23995.0000000,24298.0000000,23995.0000000,24123.0000000,66850
SPFB.SBRF-12.19,60,20191105,120000,24121.0000000,24125.0000000,24005.0000000,24075.0000000,29446
SPFB.SBRF-12.19,60,20191105,130000,24074.0000000,24086.0000000,23892.0000000,24008.0000000,38483
SPFB.SBRF-12.19,60,20191105,140000,24007.0000000,24093.0000000,23974.0000000,24081.0000000,21954
SPFB.SBRF-12.19,60,20191105,150000,24082.0000000,24164.0000000,24058.0000000,24072.0000000,21088
SPFB.SBRF-12.19,60,20191105,160000,24076.0000000,24125.0000000,24035.0000000,24064.0000000,20061
SPFB.SBRF-12.19,60,20191105,170000,24066.0000000,24100.0000000,23952.0000000,24043.0000000,32980
SPFB.SBRF-12.19,60,20191105,180000,24043.0000000,24087.0000000,23940.0000000,23959.0000000,31951
SPFB.SBRF-12.19,60,20191105,190000,23962.0000000,24055.0000000,23870.0000000,24024.0000000,38976
SPFB.SBRF-12.19,60,20191105,200000,24022.0000000,24088.0000000,24000.0000000,24073.0000000,9091
SPFB.SBRF-12.19,60,20191105,210000,24070.0000000,24089.0000000,24049.0000000,24060.0000000,2628
SPFB.SBRF-12.19,60,20191105,220000,24057.0000000,24089.0000000,24041.0000000,24089.0000000,1745
SPFB.SBRF-12.19,60,20191105,230000,24087.0000000,24130.0000000,24082.0000000,24114.0000000,4106
SPFB.SBRF-12.19,60,20191106,000000,24115.0000000,24127.0000000,24094.0000000,24109.0000000,1168
SPFB.SBRF-12.19,60,20191106,110000,24099.0000000,24099.0000000,23903.0000000,23958.0000000,47033
SPFB.SBRF-12.19,60,20191106,120000,23960.0000000,24033.0000000,23854.0000000,23900.0000000,49750
SPFB.SBRF-12.19,60,20191106,130000,23900.0000000,23965.0000000,23870.0000000,23917.0000000,23482
SPFB.SBRF-12.19,60,20191106,140000,23919.0000000,23993.0000000,23902.0000000,23947.0000000,20462
SPFB.SBRF-12.19,60,20191106,150000,23951.0000000,24056.0000000,23951.0000000,24033.0000000,31113
SPFB.SBRF-12.19,60,20191106,160000,24033.0000000,24050.0000000,23971.0000000,24032.0000000,17510
SPFB.SBRF-12.19,60,20191106,170000,24034.0000000,24068.0000000,23946.0000000,24015.0000000,28417
SPFB.SBRF-12.19,60,20191106,180000,24015.0000000,24038.0000000,23975.0000000,24026.0000000,26424
SPFB.SBRF-12.19,60,20191106,190000,24026.0000000,24090.0000000,23980.0000000,24079.0000000,32006
SPFB.SBRF-12.19,60,20191106,200000,24063.0000000,24085.0000000,23565.0000000,23782.0000000,35456
SPFB.SBRF-12.19,60,20191106,210000,23789.0000000,23877.0000000,23730.0000000,23847.0000000,12138
SPFB.SBRF-12.19,60,20191106,220000,23849.0000000,23880.0000000,23818.0000000,23867.0000000,3422
SPFB.SBRF-12.19,60,20191106,230000,23866.0000000,23907.0000000,23863.0000000,23888.0000000,3132
SPFB.SBRF-12.19,60,20191107,000000,23886.0000000,23952.0000000,23873.0000000,23912.0000000,4447
SPFB.SBRF-12.19,60,20191107,110000,23926.0000000,24242.0000000,23926.0000000,24194.0000000,71781
SPFB.SBRF-12.19,60,20191107,120000,24192.0000000,24229.0000000,24158.0000000,24200.0000000,35581
SPFB.SBRF-12.19,60,20191107,130000,24200.0000000,24351.0000000,24200.0000000,24330.0000000,45655
SPFB.SBRF-12.19,60,20191107,140000,24329.0000000,24430.0000000,24326.0000000,24412.0000000,34268
SPFB.SBRF-12.19,60,20191107,150000,24410.0000000,24492.0000000,24401.0000000,24403.0000000,38054
SPFB.SBRF-12.19,60,20191107,160000,24409.0000000,24428.0000000,24320.0000000,24392.0000000,28999
SPFB.SBRF-12.19,60,20191107,170000,24391.0000000,24420.0000000,24335.0000000,24413.0000000,18709
