<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Si-12.19,60,20191105,110000,63901.0000000,63901.0000000,63591.0000000,63629.0000000,239795
SPFB.Si-12.19,60,20191105,120000,63628.0000000,63630.0000000,63525.0000000,63602.0000000,222524
SPFB.Si-12.19,60,20191105,130000,63599.0000000,63675.0000000,63589.0000000,63671.0000000,104360
SPFB.Si-12.19,60,20191105,140000,63671.0000000,63782.0000000,63637.0000000,63738.0000000,119059
SPFB.Si-12.19,60,20191105,150000,63737.0000000,63765.0000000,63692.0000000,63702.0000000,68000
SPFB.Si-12.19,60,20191105,160000,63704.0000000,63800.0000000,63693.0000000,63776.0000000,81635
SPFB.Si-12.19,60,20191105,170000,63777.0000000,63829.0000000,63748.0000000,63803.0000000,86556
SPFB.Si-12.19,60,20191105,180000,63803.0000000,63853.0000000,63711.0000000,63765.0000000,122159
SPFB.Si-12.19,60,20191105,190000,63766.0000000,64056.0000000,63755.0000000,64005.0000000,274068
SPFB.Si-12.19,60,20191105,200000,63986.0000000,63986.0000000,63873.0000000,63928.0000000,80500
SPFB.Si-12.19,60,20191105,210000,63924.0000000,63967.0000000,63896.0000000,63924.0000000,24339
SPFB.Si-12.19,60,20191105,220000,63924.0000000,63925.0000000,63830.0000000,63832.0000000,34298
SPFB.Si-12.19,60,20191105,230000,63831.0000000,63884.0000000,63805.0000000,63874.0000000,30296
SPFB.Si-12.19,60,20191106,000000,63878.0000000,63893.0000000,63845.0000000,63858.0000000,21474
SPFB.Si-12.19,60,20191106,110000,63858.0000000,63994.0000000,63831.0000000,63947.0000000,182694
SPFB.Si-12.19,60,20191106,120000,63947.0000000,64012.0000000,63933.0000000,63987.0000000,120736
SPFB.Si-12.19,60,20191106,130000,63988.0000000,64139.0000000,63988.0000000,64132.0000000,187314
SPFB.Si-12.19,60,20191106,140000,64132.0000000,64148.0000000,64054.0000000,64061.0000000,115410
SPFB.Si-12.19,60,20191106,150000,64060.0000000,64089.0000000,64012.0000000,64056.0000000,72922
SPFB.Si-12.19,60,20191106,160000,64057.0000000,64126.0000000,64042.0000000,64061.0000000,63065
SPFB.Si-12.19,60,20191106,170000,64062.0000000,64135.0000000,64025.0000000,64130.0000000,111930
SPFB.Si-12.19,60,20191106,180000,64130.0000000,64240.0000000,64094.0000000,64168.0000000,170763
SPFB.Si-12.19,60,20191106,190000,64166.0000000,64236.0000000,64084.0000000,64176.0000000,154080
SPFB.Si-12.19,60,20191106,200000,64198.0000000,64351.0000000,64191.0000000,64346.0000000,161816
SPFB.Si-12.19,60,20191106,210000,64347.0000000,64400.0000000,64320.0000000,64329.0000000,116136
SPFB.Si-12.19,60,20191106,220000,64331.0000000,64348.0000000,64290.0000000,64296.0000000,24883
SPFB.Si-12.19,60,20191106,230000,64296.0000000,64326.0000000,64263.0000000,64315.0000000,22993
SPFB.Si-12.19,60,20191107,000000,64316.0000000,64318.0000000,64196.0000000,64235.0000000,50519
SPFB.Si-12.19,60,20191107,110000,64228.0000000,64279.0000000,63957.0000000,64066.0000000,318096
SPFB.Si-12.19,60,20191107,120000,64067.0000000,64115.0000000,64031.0000000,64062.0000000,163066
SPFB.Si-12.19,60,20191107,130000,64062.0000000,64063.0000000,63982.0000000,64018.0000000,144569
SPFB.Si-12.19,60,20191107,140000,64017.0000000,64119.0000000,63985.0000000,64082.0000000,94369
SPFB.Si-12.19,60,20191107,150000,64082.0000000,64174.0000000,64060.0000000,64140.0000000,75568
SPFB.Si-12.19,60,20191107,160000,64140.0000000,64161.0000000,64044.0000000,64095.0000000,97519
SPFB.Si-12.19,60,20191107,170000,64096.0000000,64137.0000000,64063.0000000,64099.0000000,53285
SPFB.Si-12.19,60,20191107,180000,64098.0000000,64118.0000000,63961.0000000,63994.0000000,121338
SPFB.Si-12.19,60,20191107,190000,63992.0000000,64097.0000000,63965.0000000,64081.0000000,71340
SPFB.Si-12.19,60,20191107,200000,64079.0000000,64079.0000000,63910.0000000,63912.0000000,74461
SPFB.Si-12.19,60,20191107,210000,63911.0000000,63955.0000000,63764.0000000,63791.0000000,150027
SPFB.Si-12.19,60,20191107,220000,63791.0000000,63856.0000000,63751.0000000,63788.0000000,60267
SPFB.Si-12.19,60,20191107,230000,63789.0000000,63895.0000000,63720.0000000,63861.0000000,64850
SPFB.Si-12.19,60,20191108,000000,63860.0000000,63945.0000000,63860.0000000,63880.0000000,39919
SPFB.Si-12.19,60,20191108,110000,63889.0000000,64084.0000000,63889.0000000,64060.0000000,233425
SPFB.Si-12.19,60,20191108,120000,64059.0000000,64167.0000000,64053.0000000,64157.0000000,173085
SPFB.Si-12.19,60,20191108,130000,64158.0000000,64258.0000000,64155.0000000,64202.0000000,237582
SPFB.Si-12.19,60,20191108,140000,64202.0000000,64218.0000000,64129.0000000,64155.0000000,103588
SPFB.Si-12.19,60,20191108,150000,64152.0000000,64195.0000000,64140.0000000,64143.0000000,43545
SPFB.Si-12.19,60,20191108,160000,64143.0000000,64248.0000000,64081.0000000,64199.0000000,162872
SPFB.Si-12.19,60,20191108,170000,64200.0000000,64224.0000000,64066.0000000,64123.0000000,109956
SPFB.Si-12.19,60,20191108,180000,64123.0000000,64288.0000000,64080.0000000,64270.0000000,152636
SPFB.Si-12.19,60,20191108,190000,64268.0000000,64296.0000000,64115.0000000,64121.0000000,128459
SPFB.Si-12.19,60,20191108,200000,64120.0000000,64199.0000000,64086.0000000,64161.0000000,60277
SPFB.Si-12.19,60,20191108,210000,64162.0000000,64165.0000000,64117.0000000,64135.0000000,25072
SPFB.Si-12.19,60,20191108,220000,64136.0000000,64163.0000000,64120.0000000,64133.0000000,12647
